image_id,image_path,mask_path,dataset,language,condition,word,word_color,font_color,background_color,label,dataset_name
multilingual_stroop_arabic_background_conflict_001501,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_001501.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_001501_mask.png,stroop,arabic,background_conflict,أبيض,white,red,green,red,multilingual_stroop
multilingual_stroop_arabic_background_conflict_002586,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_002586.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_002586_mask.png,stroop,arabic,background_conflict,أسود,black,blue,green,blue,multilingual_stroop
multilingual_stroop_arabic_background_conflict_002653,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_002653.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_002653_mask.png,stroop,arabic,background_conflict,أبيض,white,blue,brown,blue,multilingual_stroop
multilingual_stroop_arabic_background_conflict_001055,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_001055.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_001055_mask.png,stroop,arabic,background_conflict,أزرق,blue,white,brown,white,multilingual_stroop
multilingual_stroop_arabic_background_conflict_000705,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_000705.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_000705_mask.png,stroop,arabic,background_conflict,أبيض,white,black,green,black,multilingual_stroop
multilingual_stroop_arabic_background_conflict_000106,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_000106.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_000106_mask.png,stroop,arabic,background_conflict,برتقالي,orange,green,blue,green,multilingual_stroop
multilingual_stroop_arabic_background_conflict_000589,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_000589.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_000589_mask.png,stroop,arabic,background_conflict,أسود,black,purple,white,purple,multilingual_stroop
multilingual_stroop_arabic_background_conflict_002468,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_002468.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_002468_mask.png,stroop,arabic,background_conflict,رمادي,gray,black,blue,black,multilingual_stroop
multilingual_stroop_arabic_background_conflict_002413,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_002413.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_002413_mask.png,stroop,arabic,background_conflict,بنفسجي,purple,brown,yellow,brown,multilingual_stroop
multilingual_stroop_arabic_background_conflict_001600,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_001600.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_001600_mask.png,stroop,arabic,background_conflict,أصفر,yellow,blue,green,blue,multilingual_stroop
multilingual_stroop_arabic_background_conflict_002464,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/images/multilingual_stroop_arabic_background_conflict_002464.png,/content/stroop_multilingual_full_benchmark/data/multilingual_stroop_80k/masks/multilingual_stroop_arabic_background_conflict_002464_mask.png,stroop,arabic,background_conflict,أسود,black,blue,green,blue,multilingual_stroop
