image_id,image_path,mask_path,dataset,script,condition,word,word_color,font_color,background_color,label,prompt_key,prompt_template,pred_color,pred_score,is_correct,error_type,whitebox_group,cue_name,cue_prompt,cue_score,text_energy_share,background_energy_share,text_area_share,background_area_share,text_enrichment,background_enrichment
incongruent_02647,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02647.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02647_mask.png,main_stroop_20k,english,incongruent,RED,red,yellow,black,yellow,ink_color,the ink color of the text is {},red,0.279296875,False,word_bias,incongruent_word_bias,correct_font_prompt,the ink color of the text is yellow,0.27001953125,0.0590381920337677,0.9409617781639099,0.06088568239795918,0.9391143176020408,0.9696562477746675,1.001967226468141
incongruent_02647,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02647.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02647_mask.png,main_stroop_20k,english,incongruent,RED,red,yellow,black,yellow,ink_color,the ink color of the text is {},red,0.279296875,False,word_bias,incongruent_word_bias,word_prompt,the word says red,0.331298828125,0.039017848670482635,0.9609822034835815,0.06088568239795918,0.9391143176020408,0.6408377261353189,1.0232856375829966
incongruent_02647,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02647.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02647_mask.png,main_stroop_20k,english,incongruent,RED,red,yellow,black,yellow,ink_color,the ink color of the text is {},red,0.279296875,False,word_bias,incongruent_word_bias,background_prompt,the background color is black,0.272216796875,0.04156067222356796,0.958439290523529,0.06088568239795918,0.9391143176020408,0.6826016193085295,1.020577859748805
incongruent_02105,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02105.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02105_mask.png,main_stroop_20k,english,incongruent,ORANGE,orange,purple,white,purple,ink_color,the ink color of the text is {},orange,0.30126953125,False,word_bias,incongruent_word_bias,correct_font_prompt,the ink color of the text is purple,0.282470703125,0.07494626194238663,0.9250538349151611,0.0791812818877551,0.9208187181122449,0.9465147657432527,1.0045992839563531
incongruent_02105,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02105.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02105_mask.png,main_stroop_20k,english,incongruent,ORANGE,orange,purple,white,purple,ink_color,the ink color of the text is {},orange,0.30126953125,False,word_bias,incongruent_word_bias,word_prompt,the word says orange,0.3447265625,0.082542285323143,0.9174578189849854,0.0791812818877551,0.9208187181122449,1.0424468123120845,0.9963500860433738
incongruent_02105,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02105.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02105_mask.png,main_stroop_20k,english,incongruent,ORANGE,orange,purple,white,purple,ink_color,the ink color of the text is {},orange,0.30126953125,False,word_bias,incongruent_word_bias,background_prompt,the background color is white,0.28369140625,0.0532735176384449,0.9467266201972961,0.0791812818877551,0.9208187181122449,0.6728043502240878,1.0281357136796778
incongruent_01063,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_01063.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_01063_mask.png,main_stroop_20k,english,incongruent,BLUE,blue,orange,black,orange,ink_color,the ink color of the text is {},blue,0.2763671875,False,word_bias,incongruent_word_bias,correct_font_prompt,the ink color of the text is orange,0.26904296875,0.05388591066002846,0.9461141228675842,0.05353156887755102,0.9464684311224489,1.0066191169755696,0.9996256417652505
incongruent_01063,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_01063.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_01063_mask.png,main_stroop_20k,english,incongruent,BLUE,blue,orange,black,orange,ink_color,the ink color of the text is {},blue,0.2763671875,False,word_bias,incongruent_word_bias,word_prompt,the word says blue,0.307373046875,0.041693732142448425,0.9583062529563904,0.05353156887755102,0.9464684311224489,0.7788623652931913,1.0125073497642483
incongruent_01063,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_01063.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_01063_mask.png,main_stroop_20k,english,incongruent,BLUE,blue,orange,black,orange,ink_color,the ink color of the text is {},blue,0.2763671875,False,word_bias,incongruent_word_bias,background_prompt,the background color is black,0.273681640625,0.06815674901008606,0.9318431615829468,0.05353156887755102,0.9464684311224489,1.2732064033827375,0.9845475254070198
background_conflict_03774,/content/stroop_expanded_vlm/main_stroop_20k/images/background_conflict_03774.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/background_conflict_03774_mask.png,main_stroop_20k,english,background_conflict,BLACK,black,gray,yellow,gray,ink_color,the ink color of the text is {},black,0.26123046875,False,word_bias,background_conflict_word_bias,correct_font_prompt,the ink color of the text is gray,0.2529296875,0.40588346123695374,0.5941165089607239,0.04693478954081633,0.9530652104591837,8.64781495197357,0.6233744514089817
