prompt_key,prompt_style,language,condition,num_images,accuracy,word_bias_rate,background_bias_rate,other_error_rate
control_background,control,english,background_conflict,10000,0.0017,0.9915,0.0068,0.0
control_background,control,english,congruent,10000,1.0,0.0,0.0,0.0
control_background,control,english,incongruent,10000,0.0031,0.9969,0.0,0.0
control_background,control,english,neutral,10000,0.8178,0.0,0.0744,0.1078
control_word_oriented,control,english,background_conflict,10000,0.0,1.0,0.0,0.0
control_word_oriented,control,english,congruent,10000,1.0,0.0,0.0,0.0
control_word_oriented,control,english,incongruent,10000,0.0,1.0,0.0,0.0
control_word_oriented,control,english,neutral,10000,0.7513,0.0,0.0466,0.2021
descriptive_ignore_word,descriptive,english,background_conflict,10000,0.0559,0.8798,0.0643,0.0
descriptive_ignore_word,descriptive,english,congruent,10000,1.0,0.0,0.0,0.0
descriptive_ignore_word,descriptive,english,incongruent,10000,0.1048,0.8952,0.0,0.0
descriptive_ignore_word,descriptive,english,neutral,10000,0.8064,0.0,0.0345,0.1591
descriptive_not_background,descriptive,english,background_conflict,10000,0.0231,0.9266,0.0503,0.0
descriptive_not_background,descriptive,english,congruent,10000,1.0,0.0,0.0,0.0
descriptive_not_background,descriptive,english,incongruent,10000,0.0541,0.9459,0.0,0.0
descriptive_not_background,descriptive,english,neutral,10000,0.8078,0.0,0.0807,0.1115
exact_font_color,exact,english,background_conflict,10000,0.018,0.945,0.037,0.0
exact_font_color,exact,english,congruent,10000,1.0,0.0,0.0,0.0
exact_font_color,exact,english,incongruent,10000,0.0546,0.9454,0.0,0.0
exact_font_color,exact,english,neutral,10000,0.7978,0.0,0.0244,0.1778
exact_ink_color,exact,english,background_conflict,10000,0.0523,0.8896,0.0581,0.0
exact_ink_color,exact,english,congruent,10000,1.0,0.0,0.0,0.0
exact_ink_color,exact,english,incongruent,10000,0.0828,0.9172,0.0,0.0
exact_ink_color,exact,english,neutral,10000,0.7974,0.0,0.0237,0.1789
exact_letters_color,exact,english,background_conflict,10000,0.0146,0.9712,0.0142,0.0
exact_letters_color,exact,english,congruent,10000,1.0,0.0,0.0,0.0
exact_letters_color,exact,english,incongruent,10000,0.0259,0.9741,0.0,0.0
exact_letters_color,exact,english,neutral,10000,0.7803,0.0,0.1924,0.0273
original_ambiguous_written_in,ambiguous,english,background_conflict,10000,0.0074,0.984,0.0086,0.0
original_ambiguous_written_in,ambiguous,english,congruent,10000,1.0,0.0,0.0,0.0
original_ambiguous_written_in,ambiguous,english,incongruent,10000,0.0172,0.9828,0.0,0.0
original_ambiguous_written_in,ambiguous,english,neutral,10000,0.7312,0.0,0.2672,0.0016
vague_colored_word,vague,english,background_conflict,10000,0.0,0.9999,0.0001,0.0
vague_colored_word,vague,english,congruent,10000,1.0,0.0,0.0,0.0
vague_colored_word,vague,english,incongruent,10000,0.0,1.0,0.0,0.0
vague_colored_word,vague,english,neutral,10000,0.7332,0.0,0.0589,0.2079
vague_minimal_color,vague,english,background_conflict,10000,0.0005,0.9973,0.0022,0.0
vague_minimal_color,vague,english,congruent,10000,1.0,0.0,0.0,0.0
vague_minimal_color,vague,english,incongruent,10000,0.0,1.0,0.0,0.0
vague_minimal_color,vague,english,neutral,10000,0.7596,0.0,0.0877,0.1527
very_descriptive_ignore_all_distractors,descriptive,english,background_conflict,10000,0.0519,0.8946,0.0535,0.0
very_descriptive_ignore_all_distractors,descriptive,english,congruent,10000,1.0,0.0,0.0,0.0
very_descriptive_ignore_all_distractors,descriptive,english,incongruent,10000,0.0975,0.9025,0.0,0.0
very_descriptive_ignore_all_distractors,descriptive,english,neutral,10000,0.7942,0.0,0.0588,0.147
very_descriptive_stroop_task,descriptive,english,background_conflict,10000,0.0896,0.8028,0.1076,0.0
very_descriptive_stroop_task,descriptive,english,congruent,10000,1.0,0.0,0.0,0.0
very_descriptive_stroop_task,descriptive,english,incongruent,10000,0.164,0.836,0.0,0.0
very_descriptive_stroop_task,descriptive,english,neutral,10000,0.7975,0.0,0.0489,0.1536
